keyword,frequency,avg_rank,categories,avg_rating,avg_reviews,category_count,total_rank
charging,16,13.1,"['Toys', 'Electronics']",4.14,21858.0,2,28.1
ultra,16,16.7,"['Kitchen', 'Clothing Women', 'Electronics', 'Sun Care']",4.14,16610.0,4,33.9
necklace,16,17.4,['Jewellery'],3.94,1061.0,1,
gold,16,18.0,['Jewellery'],4.01,1748.0,1,
daily,16,17.0,"['Beauty', 'Hair Care', 'Toilet Cleaners', 'Sun Care', 'Body Care']",4.14,21397.0,5,40.3
skin for,16,14.0,"['Beauty', 'Skincare', 'Body Care']",4.17,16536.0,3,31.8
minimalist,16,19.5,"['Beauty', 'Skincare', 'Body Care']",4.15,25329.0,3,37.6
rosemary,16,10.2,"['Beauty', 'Hair Care']",4.2,14040.0,2,28.4
color,16,20.7,"['Beauty', 'Hair Care', 'Toys']",4.07,26491.0,3,34.0
men's,16,18.7,['Clothing Women'],4.1,4009.0,1,
tan,16,22.8,"['Skincare', 'Sun Care', 'Body Care']",3.78,3148.0,3,39.0
tough,16,13.6,"['Household Cleaners', 'Toilet Cleaners']",4.09,6952.0,2,21.6
limescale,16,16.4,"['Household Cleaners', 'Toilet Cleaners']",4.17,6653.0,2,37.5
bluetooth,15,19.7,['Electronics'],4.01,35929.0,1,
mic,15,14.8,"['Toys', 'Electronics']",4.0,69373.0,2,21.8
display,15,17.4,"['Kitchen', 'Electronics']",4.07,26418.0,2,29.4
active,15,13.6,"['Skincare', 'Pet Care', 'Toilet Cleaners', 'Electronics']",3.98,53445.0,4,33.6
shining,15,18.1,['Jewellery'],4.0,1409.0,1,
diva,15,18.1,['Jewellery'],4.0,1409.0,1,
shining diva,15,18.1,['Jewellery'],4.0,1409.0,1,
diva fashion,15,18.1,['Jewellery'],4.0,1409.0,1,
weight,15,7.7,"['Jewellery', 'Toys', 'Food']",3.37,14.0,3,18.7
hydrating,15,4.4,"['Beauty', 'Skincare', 'Sun Care']",4.32,32127.0,3,9.9
repair,15,26.0,"['Beauty', 'Skincare', 'Hair Care', 'Sun Care', 'Body Care']",4.27,9032.0,5,42.0
amazon,15,10.2,"['Household Cleaners', 'Pet Care', 'Kitchen']",4.3,57764.0,3,21.1
car,15,18.3,['Toys'],4.04,5041.0,1,
shine,15,20.2,"['Hair Care', 'Household Cleaners', 'Toilet Cleaners']",4.3,10889.0,3,26.5
removal,15,14.5,"['Household Cleaners', 'Toilet Cleaners', 'Sun Care', 'Body Care']",4.02,762.0,4,32.5
stain,15,19.4,"['Household Cleaners', 'Toilet Cleaners']",3.89,1423.0,2,36.599999999999994
wireless,14,15.5,['Electronics'],4.01,40878.0,1,
tablets,14,8.7,"['Household Cleaners', 'Toilet Cleaners', 'Electronics']",4.03,66873.0,3,28.7
and girls,14,17.8,"['Jewellery', 'Toys']",4.01,882.0,2,38.6
birthday,14,16.2,"['Jewellery', 'Toys']",4.57,934.0,2,30.1
stainless,14,16.5,"['Jewellery', 'Kitchen']",4.02,711.0,2,33.4
steel,14,16.5,"['Jewellery', 'Kitchen']",4.02,711.0,2,33.4
stainless steel,14,16.5,"['Jewellery', 'Kitchen']",4.02,711.0,2,33.4
gentle,14,14.0,"['Beauty', 'Skincare']",4.26,19142.0,2,27.8
for oily,14,12.4,"['Beauty', 'Skincare', 'Sun Care']",4.2,15363.0,3,25.700000000000003
glowing skin,14,14.7,"['Beauty', 'Skincare', 'Body Care']",4.07,20281.0,3,27.7
barrier,14,24.7,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.3,14905.0,4,40.3
glow,14,22.0,"['Beauty', 'Skincare', 'Sun Care', 'Body Care']",4.17,20266.0,4,46.7
english,14,15.9,['Books'],4.44,1962.0,1,
activity,14,17.6,"['Books', 'Toys']",4.46,1969.0,2,27.0
refill,14,25.0,"['Skincare', 'Books', 'Household Cleaners', 'Body Care']",4.05,5000.0,4,44.2
educational,14,12.1,['Toys'],4.08,3853.0,1,
toy for,14,11.4,['Toys'],4.16,4043.0,1,
socks for,14,13.5,['Clothing Women'],4.05,6121.0,1,
advanced,14,15.7,"['Hair Care', 'Toilet Cleaners', 'Sun Care', 'Body Care']",4.03,4078.0,4,25.1
uvb protection,14,16.7,"['Skincare', 'Sun Care']",4.3,10576.0,2,32.9
earbuds,13,14.7,['Electronics'],4.03,39157.0,1,
cable,13,9.1,['Electronics'],4.3,18633.0,1,
samsung,13,12.8,['Electronics'],4.18,14468.0,1,
ear,13,14.6,"['Jewellery', 'Electronics']",3.96,34014.0,2,36.6
heart,13,19.3,"['Pet Care', 'Jewellery', 'Electronics']",3.97,61259.0,3,31.8
wedding,13,16.5,['Jewellery'],3.88,346.0,1,
box,13,11.8,"['Jewellery', 'Clothing Women', 'Toys', 'Kitchen']",4.03,229.0,4,28.8
baby,13,17.0,"['Jewellery', 'Toys']",4.3,826.0,2,31.2
in-vivo,13,10.6,"['Beauty', 'Skincare']",4.18,15722.0,2,23.1
with niacinamide,13,14.8,"['Beauty', 'Skincare', 'Body Care']",4.2,27971.0,3,27.1
lasting,13,13.0,"['Beauty', 'Skincare', 'Toilet Cleaners', 'Body Care']",4.1,11358.0,4,21.0
long lasting,13,13.0,"['Beauty', 'Skincare', 'Toilet Cleaners', 'Body Care']",4.1,11358.0,4,21.0
